Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address1,County,City/Town,Longitude,Latitude,Sold Amount,Sold Date,Foreclosure Year,Property Condition,Program,Project,SBL
3.115E+25,Residential Improved,Disposed,Private,,157 Maplewood Ave,Onondaga,Syracuse,-76.141729,42.988371,2154.63,6/6/2014,2013,Minor Renovation Needed,AG Grant,Confirmed for AG funded renovation,064.-10-22.0
3.115E+25,Residential Improved,Disposed,Private,,3644 Midland Ave,Onondaga,Syracuse,-76.147539,43.004044,2500,1/2/2015,2013,Major Renovation Needed,AG Grant,Confirmed for AG funded renovation,070.-08-15.0
3.115E+25,Residential Improved,Disposed,Private,,523 Mountainview Ave,Onondaga,Syracuse,-76.094139,43.051262,55000,6/5/2014,2013,Minor Renovation Needed,,,034.-08-04.0
3.115E+25,Residential Improved,Disposed,Private,,322 Spring St,Onondaga,Syracuse,-76.147762,43.067035,9500,3/17/2014,2013,Major Renovation Needed,,,009.-13-14.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,2001 Geddes St S,Onondaga,Syracuse,-76.174744,43.02766,24900,3/14/2014,2013,Major Renovation Needed,,,082.-01-32.0
3.115E+25,Residential Improved,Disposed,Private,,2201-03 Grant Blvd,Onondaga,Syracuse,-76.144724,43.07278,16000,3/17/2014,2013,Major Renovation Needed,,,010.-01-11.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,100 Lime St,Onondaga,Syracuse,-76.094183,43.0528,,,2013,,,,034.-01-10.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,901 Northway St,Onondaga,Syracuse,-76.092216,43.05307,,,2013,,,,034.-03-17.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,905 Northway St,Onondaga,Syracuse,-76.092018,43.053082,,,2013,,,,034.-03-16.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,1337 Butternut St,Onondaga,Syracuse,-76.143509,43.070629,,,2013,,Land Banking,Site Assembly - Land Bank,010.-19-28.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,1416 Butternut St,Onondaga,Syracuse,-76.142479,43.071789,,,2013,Unimproved,Demolitions,CNY AP - SIDA funds #1,010.-04-17.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,1414 Butternut St,Onondaga,Syracuse,-76.142479,43.071678,,,2013,Unimproved,Demolitions,CNY AP - SIDA funds #1,010.-04-16.0
3.115E+25,Residential Improved,New,Land Bank,,1121 Butternut St,Onondaga,Syracuse,-76.143651,43.066211,,,2013,Minor Renovation Needed,Land Banking,Site Assembly - Land Bank,009.-21-28.0
3.115E+25,Residential Improved,Disposed,Private,,150 Culbert St,Onondaga,Syracuse,-76.149277,43.072441,1998.45,6/6/2014,2013,Minor Renovation Needed,AG Grant,Confirmed for AG funded renovation,006.-12-22.0
3.115E+25,Residential Improved,Target,,,160 Seeley Ave,Onondaga,Syracuse,-76.14529,43.002161,,,,,,,071.-20-23.0
3.115E+25,Residential Vacant - Buildable,Target,,,158 Seeley Ave,Onondaga,Syracuse,-76.145119,43.002312,,,,,,,071.-20-22.0
3.115E+25,Commercial Vacant,Disposed,Private,,1204 Butternut St,Onondaga,Syracuse,-76.143021,43.066631,151,11/19/2015,2013,Unimproved,Demolitions,CNY AP - SIDA funds #1,010.-28-28.0
3.115E+25,Commercial Improved,Compliance Monitoring,Private,,4715 Salina St S,Onondaga,Syracuse,-76.142521,43.001576,14000,9/22/2015,2015,Major Renovation Needed,,,071.-17-19.0
3.115E+25,Residential Improved,Target,,,106 Culbert St,Onondaga,Syracuse,-76.15065,43.070599,,,,,,,006.-12-01.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,121 Anderson Ave,Onondaga,Syracuse,-76.1437,43.00771,,,2013,Unimproved,Demolitions,CNY AP - SIDA funds #1,072.-10-14.0
3.115E+25,Residential Improved,Disposed,Private,,2521 Bellevue Ave,Onondaga,Syracuse,-76.19441,43.028622,15000,5/30/2014,2013,Major Renovation Needed,,,090.-05-05.0
3.115E+25,Residential Improved,Disposed,Private,,132 Bennington Dr,Onondaga,Syracuse,-76.140625,43.011731,2633.89,4/21/2014,2013,Minor Renovation Needed,AG Grant,Confirmed for AG funded renovation,072.-04-05.0
3.115E+25,Residential Improved,Target,,,1114 Butternut St,Onondaga,Syracuse,-76.143117,43.065815,,,,,,,015.-01-49.0
3.115E+25,Residential Improved,New,Land Bank,,1117 Butternut St,Onondaga,Syracuse,-76.143654,43.066107,,,2013,Major Renovation Needed,Land Banking,Site Assembly - Land Bank,009.-21-30.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,1230 Butternut St,Onondaga,Syracuse,-76.142883,43.067909,,,2013,Unimproved,Demolitions,CNY AP - SIDA funds #1,010.-28-40.0
3.115E+25,Residential Improved,New,Land Bank,,1236 Butternut St,Onondaga,Syracuse,-76.143107,43.068219,,,2013,Minor Renovation Needed,Land Banking,Site Assembly - Land Bank,010.-28-42.0
3.115E+25,Residential Improved,New,Land Bank,,1123 Butternut St,Onondaga,Syracuse,-76.143587,43.066289,,,2013,Major Renovation Needed,Land Banking,Site Assembly - Land Bank,009.-21-27.0
3.115E+25,Residential Improved,Disposed,Private,,364 Clairmonte Ave,Onondaga,Syracuse,-76.169325,43.028377,2500,4/10/2015,2014,Minor Renovation Needed,AG Grant,Confirmed for AG funded renovation,087.-13-16.0
3.115E+25,Residential Improved,Disposed,Private,,257 Collingwood Ave S,Onondaga,Syracuse,-76.107007,43.064627,46000,1/17/2014,2013,Minor Renovation Needed,,,024.-24-22.0
3.115E+25,Residential Improved,Disposed,Private,,113 Culbert St,Onondaga,Syracuse,-76.151009,43.071129,17000,6/10/2014,2013,Major Renovation Needed,,,006.-13-64.0
3.115E+25,Residential Improved,Target,,,137 Culbert St,Onondaga,Syracuse,-76.150299,43.072079,,,,,,,006.-13-52.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,165 Culbert St,Onondaga,Syracuse,-76.14946,43.073189,,,2013,Unimproved,Demolitions,AG Demo Funds #1,006.-13-38.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,318 Curtis St,Onondaga,Syracuse,-76.146988,43.068291,18900,12/19/2014,2013,Minor Renovation Needed,,,009.-12-01.0
3.115E+25,Residential Improved,Disposed,Private,,303 Curtis St,Onondaga,Syracuse,-76.147748,43.068183,34500,3/17/2014,2013,Minor Renovation Needed,,,009.-11-10.0
3.115E+25,Residential Improved,Disposed,Private,,141 Dawes Ave,Onondaga,Syracuse,-76.144432,43.008581,1022.94,4/21/2014,2013,Minor Renovation Needed,AG Grant,Confirmed for AG funded renovation,072.-11-14.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,118 Delong Ave,Onondaga,Syracuse,-76.149349,43.070954,13900,,2013,Minor Renovation Needed,,,006.-12-65.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,129 Delong Ave,Onondaga,Syracuse,-76.149544,43.071449,,,2013,,Vacant Land Uses,ASLF Forested,006.-12-81.0
3.115E+25,Residential Improved,Target,,,141 Delong Ave,Onondaga,Syracuse,-76.149116,43.07201,,,,,,,006.-12-75.0
3.115E+25,Residential Improved,Target,,,241 Fayette Blvd,Onondaga,Syracuse,-76.098419,43.049419,,,,,,,035.-05-15.0
3.115E+25,Residential Improved,Target,,,253 Fayette Blvd,Onondaga,Syracuse,-76.09819,43.049438,,,,,,,035.-05-14.0
3.115E+25,Residential Improved,Target,,,200 Fayette Blvd,Onondaga,Syracuse,-76.09993,43.048882,,,,,,,038.-04-01.0
3.115E+25,Residential Improved,Disposed,Private,,807 First North St,Onondaga,Syracuse,-76.151138,43.06995,2500,4/10/2015,2014,Minor Renovation Needed,AG Grant,Confirmed for AG funded renovation,007.-24-10.0
3.115E+25,Residential Improved,Target,,,343 Florence Ave E,Onondaga,Syracuse,-76.13916,43.00737,,,,,,,071.-02-13.0
